92, Deportivo, Mallorca, 8, 15, -7, 17, 7, 7, 15, 17, 12, 0.25, 0.2, 1, 1, X
93, Villarreal, Levante, 18, 1, 17, 3, 20, 15, 13, 3, 20, 0.75, 0.6, 3, 0, 1
94, Getafe, Athletic, 5, 10, -5, 19, 13, 7, 15, 7, 10, 0.25, 0.0, 2, 0, 1
95, At. Madrid, Sevilla, 17, 12, 5, 5, 10, 16, 7, 16, 10, 0.75, 0.4, 4, 3, 1
96, Almería, Zaragoza, 11, 14, -3, 12, 9, 10, 10, 15, 14, 0.25, 0.4, 0, 1, 2
97, Espanyol, Murcia, 17, 12, 5, 6, 11, 14, 11, 8, 8, 0.75, 0.4, 0, 0, X
98, Recreativo, Racing, 8, 15, -7, 16, 8, 7, 13, 8, 8, 0.25, 0.2, 0, 0, X
99, Valencia, R. Madrid, 18, 22, -4, 4, 1, 14, 14, 20, 6, 0.5, 0.8, 1, 5, 2
100, Valladolid, Barcelona, 6, 20, -14, 18, 2, 11, 19, 19, 7, 0.0, 0.2, 1, 1, X
101, Sevilla, R. Madrid, 12, 25, -13, 11, 1, 19, 14, 25, 7, 0.6, 0.25, 2, 0, 1
102, Athletic, Recreativo, 10, 9, 1, 14, 15, 7, 12, 7, 13, 0.0, 0.4, 2, 0, 1
103, Zaragoza, Valladolid, 17, 7, 10, 7, 19, 16, 14, 12, 20, 0.8, 0.2, 2, 3, 2
104, Racing, Espanyol, 16, 18, -2, 9, 5, 8, 8, 14, 11, 0.6, 0.2, 1, 1, X
105, Mallorca, Valencia, 16, 18, -2, 8, 6, 18, 13, 15, 19, 0.6, 0.2, 0, 2, 2
106, Barcelona, Betis, 21, 8, 13, 2, 17, 20, 8, 8, 12, 1.0, 0.2, 3, 0, 1
107, At. Madrid, Villarreal, 20, 21, -1, 4, 3, 20, 10, 18, 13, 0.8, 0.4, 3, 4, 2
108, Levante, Almería, 1, 11, -10, 20, 13, 3, 23, 10, 11, 0.0, 0.0, 3, 0, 1
109, Osasuna, Getafe, 12, 8, 4, 12, 18, 13, 11, 9, 15, 0.5, 0.2, 0, 2, 2
110, Murcia, Deportivo, 13, 9, 4, 10, 16, 8, 8, 8, 16, 0.4, 0.2, 0, 2, 2
111, Betis, Zaragoza, 8, 17, -9, 19, 7, 8, 15, 18, 17, 0.2, 0.0, 2, 1, 1
112, Deportivo, Racing, 12, 17, -5, 14, 8, 10, 16, 9, 9, 0.2, 0.33333334, 0, 1, 2
113, Villarreal, Sevilla, 24, 15, 9, 3, 10, 22, 16, 21, 14, 0.8, 0.6666667, 3, 2, 1
114, Getafe, Barcelona, 11, 24, -13, 15, 2, 11, 15, 23, 8, 0.4, 0.16666667, 2, 0, 1
115, Espanyol, Athletic, 19, 13, 6, 6, 12, 15, 12, 9, 12, 0.6, 0.33333334, 2, 1, 1
116, R. Madrid, Mallorca, 25, 16, 9, 1, 9, 25, 9, 18, 15, 1.0, 0.5, 4, 3, 1
117, Almería, At. Madrid, 11, 20, -9, 16, 5, 10, 14, 23, 14, 0.2, 0.33333334, 0, 0, X
118, Recreativo, Osasuna, 9, 12, -3, 18, 13, 7, 15, 13, 13, 0.2, 0.16666667, 1, 0, 1
119, Valencia, Murcia, 21, 13, 8, 4, 11, 17, 19, 8, 10, 0.4, 0.8333333, 3, 0, 1
120, Valladolid, Levante, 10, 4, 6, 17, 20, 15, 22, 6, 23, 0.0, 0.33333334, 1, 0, 1
121, Sevilla, Mallorca, 15, 16, -1, 10, 9, 23, 17, 21, 19, 0.6666667, 0.2, 1, 2, 2
122, Athletic, Deportivo, 13, 12, 1, 12, 17, 10, 14, 10, 17, 0.16666667, 0.33333334, 2, 2, X
123, Zaragoza, Getafe, 17, 14, 3, 8, 11, 19, 19, 13, 15, 0.6666667, 0.16666667, 1, 1, X
124, Villarreal, Almería, 27, 12, 15, 2, 16, 25, 18, 10, 14, 0.8333333, 0.6666667, 1, 1, X
125, Racing, Valencia, 20, 24, -4, 7, 4, 10, 9, 20, 19, 0.5, 0.33333334, 1, 0, 1
126, Barcelona, Recreativo, 24, 12, 12, 3, 18, 23, 10, 8, 15, 1.0, 0.16666667, 3, 0, 1
127, At. Madrid, Valladolid, 21, 13, 8, 6, 14, 23, 14, 16, 22, 0.6666667, 0.33333334, 4, 3, 1
128, Levante, Betis, 4, 11, -7, 20, 19, 6, 24, 10, 16, 0.16666667, 0.0, 4, 3, 1
129, Osasuna, Espanyol, 12, 22, -10, 15, 5, 13, 14, 17, 13, 0.4, 0.16666667, 1, 2, 2
